112|Andre Broadnax|||||||||||||||Queen Bee & Blue Hornet Band||||U.N.V.|||Xavier||Axel Zwingenberger
Am. Folk Blues Festival '65|Bass Master Khan & Elements Of|Cashmere|DJ Shadow|Elmore James (Tribute)|Fatback Band|Gap Band; Ohio Players; Lakeside|Eddie Holman||Glenn Jones|Kalena|Lee, Julia & Her Boyfriends |Dakota Moon|Neville Brothers ; http://www.nevilles.com/|Om Lounge (Series)|Maceo Parker||Karen Ramirez|Dennis Springer|Johnnie Taylor||Voo Doo Phunk|Chris Wood|||
Am. Folk Blues Festival '66|Bass/Peaston|Cassandra|DJ Spinna|Elridge|Fe'nique|Gardner/Ford|Ellis Hall||Gloria Jones|Kandi ; http//www.heykandi.com/|Kenny Lattimore|Debelah Morgan|New Birth|Omar & The Howlers|Mica Paris||Ray, Kenny 'Blue' |Donna Summer|Jonathan Tunick||Voodoo Kings|Christopher Williams|||
Am. Folk Blues Festival '67|Batman (Related Recordings)|Center Piece|DJ's Choice (Series)|Elusion|Fellowship|Gardner/Ford Quintet|Engelbert Humperdinck||Grace Jones|Kano|L.L. Cool J|Delbert McClinton|New Edition|Okai, Omar|Nicky Porter||Kevin Ramsey|Doug Shorts|Judy Torres||Voyage|Christopher Wilson|||
Am. Folk Blues Festival '69|BeBe Winans/CeCe Winans|Center St. Band|DMX|Embers|Fever|Green, Garland|Eric Hayslett||J'son|Kansas City Kitty|L.T.D.|Denroy Morgan|New Identity|Omega Forbes|P Diddy||Kym Rae|Dudley Smith|Kevin Toney||Vybe|Clyde Wright|||
Am. Folk Blues Festival '70|Bearrage|Cerah|DSK|Eminem|Few Good Men|Garnet Mimms & The Enchanters|Hideaway Bridges, Eugene||J-Shin|Karaoke|L.T.J. Bukem|Don McMinn|New J.b.'s|On The Down Low|P Nu Riff||Lionel Richie|Dusty Springfield|Lewis Taylor ; http//www.lewistaylormusic.com/||Vida, Aline ; http//www.alinevida.com/|Daryl Waters|||
Am. Folk Blues Festival '72|Bocage With His Creole|Cerrone|Da Klik|Emosia|Fieldstones|Gaturs|Everette Harp||J. Anthony ThompSon & Friends|Kashif|LSG|Dorothy Moore|New Jack Hits|One + One|P-Funk Guitar Army||Lou Rawls|Scott, E. C.|Lidell Townsell||Vinyl ; http//www.vinylgroove.com/|Delroy Wilson|||
Am. Folk Blues Festival '81|Beats International|Chaddy 1 P.u.s.|Da Youngsta's|Emotions|Fifteen Top Spins|Gavino|Fred Hammond||J. J. Johnson|Katalina|Lace|Eddie Murphy|New Orleans Beau|One Hundred Proof (aged In Sou|P.M. Dawn||Mark Radice|Earl Slick|Lillo Thomas|||Deniece Williams|||
Ama, Shola|Beats Working (Series)|Champaign|Dag|En Vogue ; http://www.en-vogue.net/|Fine Young Cannibals|Gaye/Franklin|Fred Horn||J.W. & Mr. J.|Kathleen Perry & the Art Perry Ensemble|Ladae!|Floyd Miles|New York City|One Way|PC Munoz and the Amen Corner||Martha Reeves|Edwin Starr|MC Twan|||Dexter Wansel|||
Ambassadors Of Funk|Beauty & the Beast|Change|Daize|Enchantment|First Choice|Gemini|Freddie Hughes||JOI|Katz|Lady Red|Frank McComb|New York Swing|Only Dance (Series)|Paid & Live||Reeves & Vandells, Martha|Elmer Snowden|Matt Taylor|||Diane Walker|||
Ambelique|Becca|Change Of Heart|Daktaris|Encores (Concert Series)|First Choice/Instant Funk||Fuzzy Haskins||Ja Rule|Kava Kava|Laila|Fred McDowell|Newcleus|Only Love (Series)|Pal Joey||Melvin Riley|Esther Sierra|McCoy Tyner|||Dicky Williams|||
Amber|Bee Gees (Tribute)|Changing Faces|Dalia|Enforcers|First Choice/Ripple|Genesis Baptist Church Choir|Haddaway||Ja'a|Kazie|Laissez Faire|Garnet Mimms|Newcomers|Only Soul (Series)|Paladins||Michael Ruff|Evie Sands|Mor Thiam|||Dig Wayne|||
Ambersunshower|Before Dark|Chapter 8|Damage|Entertainment Weekly (Series)|First Choice/Skyy|Genie & the Beast|Haegers Bend||Jack / Levine, Sam Jezzro|Kdb|Lakeside|Gene McDaniels|Nexstep|Opus III|Papa Chubby||Minnie Riperton||Nick Turale|||Dinah Washington|||
American Dream (Series)|Before The Blues (Series)|Charades|Damita Jo Dublanc|Entouch|First Class|Genuine Houserockin' Music (Series)|Hall & Oates||Johnson, Jack|Kelis ; http://www.kelis.com/|Lamont Cranston Band|George Mayweather|Next|Original Drifters|Papa Mali & The Instagators||Nadine Renee|Frankie Smith|Oscar Jr Toney|||Dionne Warwick|||
Amerie ; http://www.amerieonline.com/|Belizbeba ; http//www.belizbeha.com/|Charisma|Damned|Envoy|Five Red Caps|Gershwin (Tribute), George|Halos||Jackers|Kellis|Laquan|George McCrae|Next Movement|Original Salsoul Classics (Series)|Paramounts||Nicole Renee|Freddie Scott|Ralph Tresvant|||Dwayne Wiggins|||
Amiel||Charito|Dance Traxx (Series)|Enyaphace|Five Stairsteps|Georgio|Hank Ballard & The Midnighters||Jackson 5|Ken Burns JAZZ Collection|Levan, Larry|George McRae|Nicky D|Original Soul Christmas|Parker/Wesley||Nile Rodgers|George Shearing|Rhett Tyler|||Eugene Wilde|||
Amy B.|Bell Biv Devoe ; http://www.bbd-music.com/|Charlie & Ray|Dancehall Divas|Epic Voices|Flaming Ember|Greene, Gerald|Happenings||Jackson/Bryson|Kevin Purcell and The Nightburners|Latanya|Gerald McCauley|Nicole (R&B)|Original USA Gospel Chor|Parlet||Nipsey Russell|Gil Scott-Heron|Richard Tee|||Fats Waller|||
Amyth|Bell, Ricky|Chart Toppers (Priority Series)|Dancin' Divas|Equals|Flash|Get Down Tonight|Hard As Hell!||Jackson/Hayes|Kevin Saunderson|Latimore|Glenn Medeiros|Night And Day|Originals|Parliament||Otis Redding|Gregg Smith|Ruby Terry|||Franklin White|||
Anastacia|Belly Love ; http//www.bellylove-sf.com/|Cher|Danleers||Fleetwood Mac|Giggles|Hardware||Jacksons, The ; http://www.jacksonfamily-database.de/|Keystone|Latin Science|Graig Markel|Night Moves (Series)|Orquestra Was|Parliaments||Otis Rush|Harvey Scales|Ruby Turner|||Fred Wesley|||
Anderson, Sunshine ; http://www.sunshineanderson.com/|Belmonts|Cherrelle|Danny Boy|Ernest J. Lee & the Spirit of David|Flick Hits|Gillette|Harlem River Drive||Jade|Kickin Mental Detergent|Lattisaw/Gill|Gwen McCrae|Nightmare Records (Series)|Osibisa|Pastel Six||Pam Russo|Smith, Huey "Piano" |Rufus Thomas|||Glenn Walters|||
