|||||||||||||||||||||||||||||||||||||||||||||||||||
1201|Son Bacheche|Bobby Caldwell|Sullivan Dabney|Elgins|Johnny Ferreira|Larry Garner|Hosea Hargrove|I Like Jazz (Series)|Jambalaya Cajun Band|Kelly Richey Band|Jonny Lang|J.J. Malone|Tracy Nelson|Paul Oscher|Paul Rishell & Annie Raines|Quiet Celebration|Johnny Rawls|Eric Sardinas|Greg "Fingers" Taylor|||Bill Ware & the Club Bird All?Stars||Yosuke Yamashita|Jean Pierre Zanella||A.p.e|Callaway, Ann Hampton |Damon Zick|Easside Percussion|Farr/Sayles|Garbarek/Brahem|Hal Singer|Idris Ackamoor|Jack Costanzo|Karin Fields and Scott Klarman |Ladd McIntosh Big Band|Madeline Vergari|Nancy Marano|Oliver Jones|Pam Tate||Rainer Bruninghaus|Salsaya Big Band|Tailor Made Jazz Men, The |University Of N. Florida Jazz|Vanessa Rubin|Walt Weiskopf||Yoron Israel|Zizi Possi
A.p.e|Back Bay Ramblers|Randy Caldwell|Dade|Eliza Band|Al Ferrier|Amos Garrett|Larry Shannon Hargrove|I Wish I|James, Etta|Vance Kelly|Penny Lang|Mama Roo|Nelson/Purnell|Lisa Otey|Paul Urban Band|Gene Quill|Ray & Glover|Tony Sarno|Hound Dog Taylor|Ultra Lounge (series)||Henry P. Warner|||||Abbey Lincoln|Calloway, Cab (Cabell) |Dan Balmer|East Bounce|Farrell, Eileen|Garbarek/Hilliard Ensemble|Hal Smith|Idris Muhammad|Jack Daniel|Karin Krog|Ladies Of Jazz (Columbia River Ent. Series)|Madhouse|Nancy Walker|Oliver Lake|Pamela Hines||Rainier Pusch|Salt City Six|Taj Mahal|University of South Florida Jazz Ensembles|Vangelis|Walter Beasley||Yoruba Andavo|Zone
AFRS Jubilee (Series)|Back on 52nd Street|Will Calhoun|Dado Moroni Trio|Ellen Whyte & Reflex Blue|Fessor's Big City Band|Vernon Garrett|Harlem Hamfats|I Wish I Had You|James Montgomery Band|Wynton Kelly|Lannon, Liz|The Mambo Brothers|Frances Nero|Johnny Otis|Ellis Paul||Ray Charles Singers|Satan & Adam|Johnnie Taylor|Kazutoki Umezu||Washboard Rhythm Kings|||Marcel Zanini||Abbey, Helen ||Dan Barrett|East Down Septet|Fasullo, Ned |Garbarek/Khan|Hal Stein|Igor Stravinski|Jack DeJohnette|Karizma|Ladies Sing Jazz (Epm/Jazz Archives Series)|Mae Barnes|Nancy Wilson (Jazz)|Oliver Naylor|Pamela Rose||Ralasic|Salty Dogs Jazz Band|Takashi Kazamaki|UNLV Jazz Ensemble|Vangelis (Tribute)|Walter Bishop Jr.||Yoshi Mihara|Zoot Sims
ASV Living Era Hits (Series)|Backstreet|Califas Rhythm Ensemble||Elkins?Payne Jubilee Singers|Sandra Feva|Gary Small Band|James Harman|IGUAZU|James, Skip|Luther Kent|Saskia Laroo|Mamou|Charmaine Neville|Shuggie Otis|Anthony Paule|Paul Quinichette|Dave Snaker Ray|Sauce Boss - Bill Wharton|Jude Taylor|Piero Umiliani||Washboard Sam||Jimmy Yancey|Rudi Zapf||Abbi Hübner|Calvin 'Fuzz' Jones|Dan Dechellis|Eastern Rebellion|Fat Daddy Pussycat Orchestra|Garcia Brothers|Halfway House Orchestra|Iguana Tribe|Jack Grassel and Ernie Adams|Karl Berger|Lady Be Good! (Related Recordings)|Magec|Nando Lauria|Oliver Nelson|Pamela Williams||Rale Nogales Jazz Qunitet|Salvador/Lowe|Take 6|Unpredictable Nature|Van't Hof/Watts|Walter Davis||Yoshiaki Masuo|Zoot.net 
Aaly Trio|Gregg Bacon|California Swing Cats|Tony Dagradi|Duke Ellington|Lee Fields|Gashouse Dave & The Hardtails|Harmonica Fats|Ian Dogole/Global Fusion|James Solberg|Willie Kent|Cory Larson|Mamou Prairie Band|The New Birth Brass Band|Out of the Blue|Jackie Payne|Ted Quinlin|Don Johnson|Merl Saunders|Koko Taylor|Umo Jazz Orchestra||Albert Washington||Mama Estella Yancey|Rudi; Evelyn Huber Zapf||Abbuehl, Susanne |Calvin Keys|Dan Dobek|Eastman Jazz Ensemble|Father John D'Amico Trio|Gardner/Ford Quintet|Hall/Brackeen/Hart/Mcbee|IGUAZU|Jack Jenney|Karl Denson|Lake Trout|Maggi Quartet Olin|Nando Michelin|Olof Roter|Pan Ramajay Productions||Ralph Alessi and Modular Theatre|Sam & Dave|TakeDake|Unspun|Vaovy|Walter Davis Jr.||Yoshihiro Hanno|Zoox Coby
|Bad Influence|The Californian Ramblers|Carsten Trio Dahl|Ramblin' Jack Elliott|Fieldstones|Blind Uncle Gaspard|Harmonica Rascals|Ian McDougall Quartet|Colin James|Doug Kershaw|Denise Lasalle|Harvey Mandel|New Bottles|Rev. Louis Overstreet|Asie Payton|Domingo Quinones|Kenny 'Blue' Ray|Ernie Savage|Little Johnny Taylor|Uncle Art|Vacca/Moran|Dinah Washington||Patrick Yandall|Frank Zappa||Abby Rabinovitz|Camellia Jazz Band|Dan Dobek with Ted MacKenzie|Eastman, Madeline |Father Tom Vaughn|Garland Wilson|Hall/Elsdon|Iguazu |Jack Jones|Karl Denson's Tiny Universe |Lalah Hathaway|Magma|Nanette Frank|Olu Dara|Pan Trio ||Ralph Bowen|Sam Butera|Tal ? Tribute Farlow|Uphill Gardeners|Vargas Swing |Walter Duda||Yosuke Yamashita|Zsa Zsa Buschkow
Greg Abate|Badault/Spang‑Hanssen Duo|Call Boys Call Incorporated|Chris Dahlgren|Rick Ellis|File|Reverend J.M. Gates|Harmonica Slim|Susie Ibarra|Elmore James|Paul Dudley Kershaw & the Bayou Ramblers|Last Chance Jug Band|Woody Mann|New Orleans Beau|Calvin Owens|Pea Soup|Frank Quintero|Wallace 'Cheese' Read|The Savannah Community Choir|Melvin Taylor|Uncle Festive|Warren Vache & Syncopatin' Seven|Sister Ernestine Washington||Al Yankee|Zappacosta||Abdel Gadir Salim|Camelot (Related Recordings)|Dan Fogelberg|Eastside Brigade Big Band|Fats Domino|Garner/Taylor|Hall/Harrell|Ike Quebec|Jack Lancaster|Karl Kimmel|Lalo Schifrin|Magnetic Tapestry|Naoko|Olympia Brass Band|Panama Francis||Ralph Burns|Sam Cardon|Tal Farlow|Upstarts, The |Various Artists - Jazz|Walter J. Lindner||Young|Zuco 103
Rez Abbasi|Bob Badgley|Ann Hampton Callaway|Del Dako|Tinsley Ellis|Peter Finger|Darrell Gatlin|Richard "Hacksaw" Harney|Abdullah Ibrahim|Etta James|Rusty Kershaw|Don Latarski|Darrell Mansfield|New Orleans Musicians Clinic|Dave Owens & Tom Abel|Dave Peabody|The Quintessential Billie Holiday (Series)|Rebirth Brass Band|Savoy Brown|Mick Taylor|The Uncollected Big Bands (Series)|Vache/Varro|Toni Lynn Washington|||Chester Zardis||Abdul Wadud|Cameron Pierre|Dan Greenspan|Eau Claire Jazz |Fats Navarro|Garnet Sweatshirt|Hallberg/Swedish Radio Jazz Gr|Ikue Mori|Jack Lee|Karl Ratzer|Lamb|Magnificent Seventh's|Narada Collection (Series)|Omar Hakim|Paolo Achenza||Ralph Cissne|Sam Donahue & His Orchestra|Talib Kibwe|Upsurge |Various Artists - Jazz|Walter Norris||Young Holt Trio|Zyrah's Orange
Ahmed Abdul-Malik|Bahia Black|Ed Calle|Steve Dalachinsky|John Ellison|Fins, The|Danny Gatton|Harp Attack|Ice|Fred James|Bob Ketchum|Latimore|David Mansfield|New Orleans Nightcrawlers|Jack Owens|Pearl Alley Band|The Quintet|Red Hots|Marc Savoy|Montana Taylor|Undergroove|Chris Vadala|Tuts Washington||Yanni|Marcelo Zarvos||Abdullah Ibrahim|Camerun, Romy |Dan Lambert|Eberhard Weber|Fats Waller|Garrison Fewell|Halloway/Terry|Ilhan Ersahin|Jack Lemmon|Karlheinz Miklin|Lamb/Florence|Magnolia Jazz Band|Narvin Kimball|Omar Sosa|Paolo Conte||Ralph Flanagan|Sam Gunz|Talkin' Verve: Roots Of Acid Jazz (Series)|Uptown|Various Artists - Jazz - Bebop/Post-Bop/Avant-Garde|Walter Norris Duo||Young, Karen |Zzah
Kaoru Abe|Benny Bailey|Red Callender|Yair Dalal|Scott Ellison|First Decade|Gaturs|Harp Blowers|Hideo Ichikawa|Jesse James|Kid Dynamite|LaTouche|Percy Mayfield|New Vintage|Kelly Owens|Bernie Pearl|Quintet Of The Hot Club Of Fra|Sonny Red|Savoy?Doucet Cajun Band|Otis Taylor|Unforgettable Standards|Vagabond Orchestra|Walter "Wolfman" Washington||Akiko Yano|||Abelardo Barroso|Camila Benson|Dan Loschen|Ebony Brass Quintet|Fattburger|Garrison Fewell/Laszlo Gardony|Hamid Drake|Ill Wind Ensemble, The |Jack Maheu|Karrin Allyson|Lambert Hendricks & Ross|Mahalia Jackson|Nat & His New Georgian Gonella|Omar's Basement |Paolo Di Sabatino||Ralph Irizarry & Timbalaye|Sam Jones|Talking Pictures|Uptown String Quartet|Various Artists - Jazz - Boogie Woogie|Walter Norris Quartet||Young/Edison|
