Amon Amarth|Bitch Magnet|Chum|Delinquents|Eyehategod|Fruitcake|Greatest Sports Rock And Jams (Series)|Hoey, Gary|Isotope|Jaded Heart|Killing Floor|Loudness|Maze|Noise Therapy||Power Chords (Series)||Rockbitch|Sarkoma|Thunderhead|||Withstand|||
Amon Duul|Bitchcraft|Cinderella|Deliverance (Metal)|Eyelid|Frumpy|Grief|Hollow|Isvind|||Love Happy|Meat Loaf|Nokturnal Mortum||Powerface||Rose Tattoo|Satan|Thy Serpent|||Wolfsbane|||
Amon Duul II|Bitter Sugar|Cipher|Dellamorte|Em Sinfonia|Fu Manchu|Griffin|Holocaust|It Is I|||Love Like Blood|Meat Puppets|Nomads||Powerman 5000||Rosemary's Billygoat|Satanic Surfers|Tiamat|||Wolverton Brothers|||
Amorphis|Black|Circle Jerks|Delphium|Entwistle, John|Fudge Tunnel|Grim Reaper|Holy Moses|Ivanhoe|||Love/Hate|Meathead|Non-Aggression Pact||Praxis||Rosicrucian|Satyricon|Tigertailz||Vanden Plas|Woodstock (Related Recordings)|||
Amp|Black 'N' Blue|Cirith Ungol|Demented Ted|Erickson, Lenita|Fuel|Grinderswitch|Holy Mother||||Lovemongers|Meathook Seed|Nothingface||Precious Death||Rossington Collins Band|Savatage|Turner, Tina|||World Bang|||
Amsvartner|Black Crowes|City Boy|Demilich|Erotic Suicide|Fueled|Grinspoon|Holy Terror||||Loverboy|Meatmen|November Doom||Pretty Boy Floyd||Rotting Christ|Saxon|Tinfed|||World Domination (Series)|||
Anacrusis|Black Flag|Clawfinger|Demolition Hammer||Full Devil Jacket|Grip Inc.|Horror Of Horrors||||Luba|Medusa Oblongada|Nuclear Assault||Pride||Rough Cutt|Scandinavian Metal Attack|Tit Wrench|||World Of Silence|||
Anal Cunt|Black Label Society|Clawhammer|Demon|Eklundh, Mattias|Funeral Oration|Grope|Horslips||||Lucky Seven|Mega Metal|Nudeswirl||Primigenium||Routine|Scanner|Titanics|||Wormhole|||
Anathema|Black League|Clay People|Demon Joker Junior|Equili, Ordo Rosarius |Funhouse|Groundhogs|Hotlegs||||Lungbrush|Megadeth|Numb||Primordial||Roxx Gang|Scaramouche|Token Entry|||Wraith|||
Ancient|Black Lung|Clockwork|Demoniac|Emmett, Rik|Funker Vogt|Gruntruck|House Of Blues (Series)||||Lustmord|Megadeth (Tribute)|||Primus||Royal Hunt|Scarecrow|Tommy (Related Recordings)||||||
Ancient Rites|Black Night|Clutch|Demons & Wizards|Even, Sieges|Furioso|Guardian|House Of Shakira||||Lynch Mob|Megaforce|Nugent, Ted||Prism||Royal Philharmonic Orchestra|Scatterbrain|Too Many Gods||||||
And Oceans|Black Oak Arkansas|Coal Chamber|Depth Charge|Exploited, The|Fury 66|Guillotine|Howling Iguanas||||Lynyrd Skynyrd|Megaherz|Number One's (Series), The||Prisma||Rudimentary Peni|Scholomance|Tool||||||
And Oceans Vs Bloodthorn|Black Ocean Drowning|Coalesce|Derrero|Excruciating Terror|Fury In The Slaughterhouse|Guitar Crusher|Hughes/Thrall||||Law, Marshall |Megaherz|Neil, Vince||Prisoner||Rudiments|Scissorfight|Tora Tora||||||
Andras|Black Sabbath|Cock Sparrer|Despair||Fury of Five|Guitar Wolf|Hugo|||||Megaworld Interview (Series)|||Prisoners||Ruins|Scorn|Torchure||||||
Andersen, Andre|Black Sabbath (Tribute)|Codeseven|Destruction|||Guitar Workshop (Series)|Human Remains||||Laine, Paul|Mellow Rock Classic (Series)|||Pro-Pain||Running Wild|Scorpions|Tormenta||||||
